,u,v,Distance_miles,TimeToCross_minutes,edge_id,lon_u,lat_u,isHighPriority_u,lon_v,lat_v,isHighPriority_v,heading_u,heading_v
6468,IA160846275,IA160802885,1.6391586953580457,1,6468,-93.616073,41.53369,0,-93.6160538,41.526452,0,0.5266231778038415,0.5254140363797647
6469,IA160846275,IA160869727,1.6437998293947569,1,6469,-93.616073,41.53369,0,-93.616093,41.540949,0,0.5266231778038415,0.5279552541964064
6470,IA160846285,IA160846275,1.644896398384848,1,6470,-93.62574,41.533731,0,-93.616073,41.53369,0,0.5339928191969369,0.5266231778038415
6471,IA160846285,IA160846246,1.6433571684381705,1,6471,-93.62574,41.533731,0,-93.635398,41.533772,0,0.5339928191969369,0.541215196854583
6472,IA160846285,IA160923530,1.6304082115427676,1,6472,-93.62574,41.533731,0,-93.6257027,41.5265312,0,0.5339928191969369,0.5324640409803283
6473,IA160846285,IA160882908,1.6374584699050183,1,6473,-93.62574,41.533731,0,-93.62575,41.540962,0,0.5339928191969369,0.5356534896337626
6474,IA160846512,IA9054744549,0.0324973412856409,0,6474,-93.6641062,41.60399,0,-93.663915,41.6039905,0,0.6036339213804706,0.6034553426752611
6475,IA160846779,IA2560801745,0.0368877552767621,0,6475,-93.7021698,41.5414324,0,-93.7023703,41.5413704,0,0.5893073428357463,0.5893960536221261
6476,IA160846779,IA391152460,3.2087234198067094,3,6476,-93.7021698,41.5414324,0,-93.703369,41.555526,0,0.5893073428357463,0.597630551486436
6477,IA160846779,IA160931655,1.4882694360293542,1,6477,-93.7021698,41.5414324,0,-93.693672,41.541031,0,0.5893073428357463,0.5839350569062393
6478,IA160846802,IA428974239,0.0285255247301146,0,6478,-93.697099,41.5284414,0,-93.6972666,41.5284439,0,0.5802707798438869,0.5803699826840918
6479,IA160846802,IA160846779,3.087658248431654,3,6479,-93.697099,41.5284414,0,-93.7021698,41.5414324,0,0.5802707798438869,0.5893073428357463
6480,IA160846802,IA160931655,3.3744009076120656,4,6480,-93.697099,41.5284414,0,-93.693672,41.541031,0,0.5802707798438869,0.5839350569062393
6481,IA160846806,IA160846826,0.022974272850622,0,6481,-93.697218,41.526567,0,-93.697083,41.526566,0,0.5795405217265371,0.5794615540974783
6482,IA160846806,IA160770543,1.8005848136588622,2,6482,-93.697218,41.526567,0,-93.6919349,41.5203253,0,0.5795405217265371,0.5739419988314712
6483,IA160846806,IA3404829440,1.0135542716971535,1,6483,-93.697218,41.526567,0,-93.703174,41.5265699,1,0.5795405217265371,0.5829651188707008
6484,IA160846826,IA160846802,0.4246923110553987,0,6484,-93.697083,41.526566,0,-93.697099,41.5284414,0,0.5794615540974783,0.5802707798438869
6485,IA160846826,IA160846806,0.022974272850622,0,6485,-93.697083,41.526566,0,-93.697218,41.526567,0,0.5794615540974783,0.5795405217265371
6486,IA160846839,IA1490068677,0.0395389824085002,0,6486,-93.68517,41.51648,0,-93.68534,41.516599,0,0.5685617162153401,0.5687040238264818
6487,IA160846839,IA160928760,7.33231573962276,8,6487,-93.68517,41.51648,0,-93.6455087,41.5257483,0,0.5685617162153401,0.5462754104700664
6488,IA160846913,IA160846915,0.0397887868963704,0,6488,-93.685517,41.516501,0,-93.685345,41.516382,0,0.5687724550345382,0.568629067321412
6489,IA160846915,IA160846839,0.0371432618912032,0,6489,-93.685345,41.516382,0,-93.68517,41.51648,0,0.568629067321412,0.5685617162153401
6490,IA160846915,IA160774963,0.4011597771905562,0,6490,-93.685345,41.516382,0,-93.683599,41.515192,0,0.568629067321412,0.5671846059516765
6491,IA160848081,IA2592305557,0.0272255625466387,0,6491,-93.7362265,41.6058046,0,-93.7363729,41.6058534,0,0.6547291862082172,0.6548455902988685
6492,IA160848081,IA160882015,0.8264324926353087,0,6492,-93.7362265,41.6058046,0,-93.7363835,41.609436,0,0.6547291862082172,0.6582711219131349
6493,IA160848476,IA160942388,1.842079801859758,2,6493,-93.570905,41.607243,0,-93.577776,41.600992,0,0.4829145741906021,0.493920769170323
6494,IA160848476,IA588138817,1.4382560290845343,1,6494,-93.570905,41.607243,0,-93.5786061,41.6046104,0,0.4829145741906021,0.4948805002943805
6495,IA160848476,IA160848532,1.8063823920973456,2,6495,-93.570905,41.607243,0,-93.561143,41.6103976,0,0.4829145741906021,0.4669359241837458
6496,IA160848476,IA160939443,1.9285513170894,2,6496,-93.570905,41.607243,0,-93.566174,41.614982,0,0.4829145741906021,0.4731086413696627
6497,IA160848532,IA5838882132,2.225369420743768,2,6497,-93.561143,41.6103976,0,-93.5611279,41.6005705,0,0.4669359241837458,0.47068810121022686
6498,IA160848532,IA160848476,1.806382392097346,2,6498,-93.561143,41.6103976,0,-93.570905,41.607243,0,0.4669359241837458,0.4829145741906021
6499,IA160848532,IA160848561,1.714338905674648,2,6499,-93.561143,41.6103976,0,-93.55147,41.612448,0,0.4669359241837458,0.4511279261763471
6500,IA160848532,IA160942428,2.235252022595159,2,6500,-93.561143,41.6103976,0,-93.561247,41.620268,0,0.4669359241837458,0.4622241075395398
6501,IA160848561,IA160780633,2.681708565353861,3,6501,-93.55147,41.612448,0,-93.5514607,41.6006055,0,0.4511279261763471,0.45765923284069066
6502,IA160848561,IA160848532,1.714338905674648,2,6502,-93.55147,41.612448,0,-93.561143,41.6103976,0,0.4511279261763471,0.4669359241837458
6503,IA160848561,IA160865157,1.7324428059996992,2,6503,-93.55147,41.612448,0,-93.5419089,41.6150713,0,0.4511279261763471,0.43510164897567605
6504,IA160848561,IA160942437,2.949296357983413,3,6504,-93.55147,41.612448,0,-93.5515164,41.6254722,0,0.4511279261763471,0.4413209864024933
6505,IA160848673,IA588138817,0.4971640589635744,0,6505,-93.5812612,41.6036891,0,-93.5786061,41.6046104,0,0.4988450952822199,0.4948805002943805
6506,IA160848673,IA8270667300,1.437036935097754,1,6506,-93.5812612,41.6036891,0,-93.588741,41.6008255,0,0.4988450952822199,0.5095066695394918
6507,IA160848673,IA160865389,0.7239627301016993,0,6507,-93.5812612,41.6036891,0,-93.5806973,41.6005855,0,0.4988450952822199,0.49808844332028723
6508,IA160848673,IA160939428,2.556906378699902,3,6508,-93.5812612,41.6036891,0,-93.581287,41.614977,0,0.4988450952822199,0.49870206747493334
6509,IA160849166,IA6597611856,1.7712735697631166,2,6509,-93.520184,41.590018,0,-93.5202212,41.5978397,0,0.42754313222482954,0.4220193062445812
6510,IA160849166,IA12277794807,0.5203745518697167,0,6510,-93.520184,41.590018,0,-93.5201923,41.5877201,0,0.42754313222482954,0.4290480005088172
6511,IA160849166,IA160849198,0.7018057698473856,0,6511,-93.520184,41.590018,0,-93.516169,41.589662,0,0.42754313222482954,0.42375841716907653
6512,IA160849166,IA160855299,3.360348531079818,4,6512,-93.520184,41.590018,0,-93.5396779,41.5906509,0,0.42754313222482954,0.44819362885044034
6513,IA160849198,IA160925212,0.3111673138273955,0,6513,-93.516169,41.589662,0,-93.51462,41.590393,0,0.42375841716907653,0.4217240302084416
6514,IA160849198,IA12277794804,0.7911397931659039,0,6514,-93.516169,41.589662,0,-93.5199233,41.5875979,0,0.42375841716907653,0.42885702090732775
6515,IA160849198,IA160849166,0.7018057698473856,0,6515,-93.516169,41.589662,0,-93.520184,41.590018,0,0.42375841716907653,0.42754313222482954
6516,IA160850863,IA160854095,0.3127275991077568,0,6516,-93.662332,41.5844572,0,-93.6641713,41.5844709,0,0.5860311574571165,0.5876408328480657
6517,IA160850863,IA3048355563,0.0907816331673815,0,6517,-93.662332,41.5844572,0,-93.6618106,41.584454,0,0.5860311574571165,0.5855718231695464
6518,IA160851945,IA160833750,0.2136880219931305,0,6518,-93.619709,41.5869462,0,-93.6184996,41.5872032,0,0.5447253889874215,0.5434688579312984
6519,IA160851945,IA160884834,0.2221228465699967,0,6519,-93.619709,41.5869462,0,-93.6200549,41.5878921,0,0.5447253889874215,0.5455319638037962
6520,IA160851945,IA160822317,0.2153742353693616,0,6520,-93.619709,41.5869462,0,-93.6209267,41.5866839,0,0.5447253889874215,0.5459766187279024
6521,IA160851950,IA160925179,0.2170370044814474,0,6521,-93.6233969,41.5861826,0,-93.6230592,41.5852583,0,0.5484909099531768,0.547697732434544
6522,IA160851950,IA160930787,0.2147608490679639,0,6522,-93.6233969,41.5861826,0,-93.623732,41.587097,1,0.5484909099531768,0.5492890101720485
6523,IA160851950,IA160822317,0.4352546609538347,0,6523,-93.6233969,41.5861826,0,-93.6209267,41.5866839,0,0.5484909099531768,0.5459766187279024
6524,IA160851950,IA10957476513,0.0259773827361136,0,6524,-93.6233969,41.5861826,0,-93.6235439,41.5861513,0,0.5484909099531768,0.5486382824173677
6525,IA160851952,IA160914866,0.2171755202891381,0,6525,-93.6258597,41.5856583,0,-93.6255199,41.5847338,0,0.5509363833898373,0.5501301708606338
6526,IA160851952,IA160829220,0.2185618237133339,0,6526,-93.6258597,41.5856583,0,-93.6246229,41.5859216,0,0.5509363833898373,0.5497145547269616
6527,IA160851952,IA160851954,0.215157129203867,0,6527,-93.6258597,41.5856583,0,-93.6270765,41.5853972,0,0.5509363833898373,0.5521251550008214
6528,IA160851954,IA160917940,0.2155261791530844,0,6528,-93.6270765,41.5853972,0,-93.6274184,41.5863137,0,0.5521251550008214,0.5529469114837741
6529,IA160851954,IA160851952,0.215157129203867,0,6529,-93.6270765,41.5853972,0,-93.6258597,41.5856583,0,0.5521251550008214,0.5509363833898373
6530,IA160851954,IA160851956,0.2174448606276248,0,6530,-93.6270765,41.5853972,0,-93.6283071,41.5851356,1,0.5521251550008214,0.5533162499451042
6531,IA160851956,IA160851954,0.2174448606276248,0,6531,-93.6283071,41.5851356,1,-93.6270765,41.5853972,0,0.5533162499451042,0.5521251550008214
6532,IA160851956,IA160851967,0.6493910733351395,0,6532,-93.6283071,41.5851356,1,-93.6319805,41.58435,0,0.5533162499451042,0.556796083391539
6533,IA160851956,IA160922289,0.2172110407612899,0,6533,-93.6283071,41.5851356,1,-93.6279834,41.5842097,0,0.5533162499451042,0.5525168474786012
6534,IA160851967,IA160930805,0.2177407368528609,0,6534,-93.6319805,41.58435,0,-93.6323302,41.585275,0,0.556796083391539,0.5576474186262216
6535,IA160851967,IA160925189,0.2169426523401936,0,6535,-93.6319805,41.58435,0,-93.631632,41.5834284,0,0.556796083391539,0.5559599751701756
6536,IA160851967,IA160851956,0.6493910733351395,0,6536,-93.6319805,41.58435,0,-93.6283071,41.5851356,1,0.556796083391539,0.5533162499451042
6537,IA160851967,IA160851973,0.7742187221662562,0,6537,-93.6319805,41.58435,0,-93.6363608,41.5834154,0,0.556796083391539,0.5608052242670298
6538,IA160851973,IA160851967,0.7742187221662562,0,6538,-93.6363608,41.5834154,0,-93.6319805,41.58435,0,0.5608052242670298,0.556796083391539
6539,IA160851973,IA160925159,0.3764317496696771,0,6539,-93.6363608,41.5834154,0,-93.637229,41.5825023,0,0.5608052242670298,0.5611853296812321
6540,IA160851973,IA7676079647,0.0824272835923101,0,6540,-93.6363608,41.5834154,0,-93.6364897,41.5837663,0,0.5608052242670298,0.5611275503583886
